"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"trafico.nlogo"
"experimento-flujo"
"10/26/2024 20:06:04:819 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-3","3"
"[run number]","velocidad-inicial","numero_de_carros","aceleracion","posicion-inicial","desaceleracion","[step]","mean(lista_flujo)"
"43","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"49","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"41","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9405940594059405"
"50","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"42","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"51","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"40","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9405940594059405"
"52","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"45","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"53","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"47","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9405940594059405"
"54","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"46","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"55","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"50","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"56","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"44","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"57","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"51","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9207920792079207"
"58","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"53","aleatoria","2","0.0045","alaetoria","0.026","5000","1.900990099009901"
"59","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"48","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9504950495049505"
"49","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"61","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"60","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"54","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9207920792079207"
"62","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"52","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9108910891089108"
"63","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"55","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9108910891089108"
"64","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"56","aleatoria","2","0.0045","alaetoria","0.026","5000","1.891089108910891"
"65","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"57","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9207920792079207"
"66","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"59","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9108910891089108"
"67","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"62","aleatoria","2","0.0045","alaetoria","0.026","5000","1.891089108910891"
"68","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"63","aleatoria","2","0.0045","alaetoria","0.026","5000","1.900990099009901"
"69","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"64","aleatoria","2","0.0045","alaetoria","0.026","5000","1.891089108910891"
"65","aleatoria","2","0.0045","alaetoria","0.026","5000","1.881188118811881"
"70","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"71","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"60","aleatoria","2","0.0045","alaetoria","0.026","5000","1.881188118811881"
"72","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"58","aleatoria","2","0.0045","alaetoria","0.026","5000","1.900990099009901"
"73","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"66","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9207920792079207"
"74","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"61","aleatoria","2","0.0045","alaetoria","0.026","5000","1.891089108910891"
"75","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"71","aleatoria","2","0.0045","alaetoria","0.026","5000","1.900990099009901"
"76","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"68","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9207920792079207"
"77","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"69","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9108910891089108"
"78","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"70","aleatoria","2","0.0045","alaetoria","0.026","5000","1.900990099009901"
"79","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"73","aleatoria","2","0.0045","alaetoria","0.026","5000","1.891089108910891"
"80","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"67","aleatoria","2","0.0045","alaetoria","0.026","5000","1.900990099009901"
"81","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"74","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9108910891089108"
"82","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"75","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9207920792079207"
"83","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"77","aleatoria","2","0.0045","alaetoria","0.026","5000","1.900990099009901"
"84","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"78","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9207920792079207"
"85","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"79","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9108910891089108"
"86","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"81","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9207920792079207"
"72","aleatoria","2","0.0045","alaetoria","0.026","5000","1.900990099009901"
"87","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"88","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"80","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9108910891089108"
"89","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"76","aleatoria","2","0.0045","alaetoria","0.026","5000","1.891089108910891"
"90","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"83","aleatoria","2","0.0045","alaetoria","0.026","5000","1.900990099009901"
"91","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"85","aleatoria","2","0.0045","alaetoria","0.026","5000","1.900990099009901"
"84","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9108910891089108"
"92","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"93","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"86","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9108910891089108"
"94","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"82","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9207920792079207"
"95","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"87","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9108910891089108"
"96","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"90","aleatoria","2","0.0045","alaetoria","0.026","5000","1.900990099009901"
"97","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"89","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9207920792079207"
"98","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"91","aleatoria","2","0.0045","alaetoria","0.026","5000","1.900990099009901"
"99","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"88","aleatoria","2","0.0045","alaetoria","0.026","5000","1.891089108910891"
"100","aleatoria","2","0.0045","alaetoria","0.026","0","0"
"92","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9108910891089108"
"101","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"93","aleatoria","2","0.0045","alaetoria","0.026","5000","1.900990099009901"
"102","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"94","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9207920792079207"
"103","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"96","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9207920792079207"
"104","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"95","aleatoria","2","0.0045","alaetoria","0.026","5000","1.900990099009901"
"105","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"99","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9108910891089108"
"106","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"102","aleatoria","3","0.0045","alaetoria","0.026","5000","2.881188118811881"
"107","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"100","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9207920792079207"
"108","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"97","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9108910891089108"
"109","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"103","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8415841584158414"
"110","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"98","aleatoria","2","0.0045","alaetoria","0.026","5000","1.9207920792079207"
"111","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"104","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8514851485148514"
"112","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"101","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8514851485148514"
"113","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"111","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8613861386138613"
"114","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"109","aleatoria","3","0.0045","alaetoria","0.026","5000","2.871287128712871"
"115","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"106","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8415841584158414"
"116","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"107","aleatoria","3","0.0045","alaetoria","0.026","5000","2.871287128712871"
"117","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"108","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8514851485148514"
"118","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"110","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8415841584158414"
"119","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"113","aleatoria","3","0.0045","alaetoria","0.026","5000","2.871287128712871"
"120","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"105","aleatoria","3","0.0045","alaetoria","0.026","5000","2.871287128712871"
"121","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"115","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8415841584158414"
"122","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"116","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8415841584158414"
"123","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"112","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8613861386138613"
"124","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"114","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8514851485148514"
"125","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"117","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8514851485148514"
"126","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"120","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8415841584158414"
"127","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"119","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8316831683168315"
"128","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"124","aleatoria","3","0.0045","alaetoria","0.026","5000","2.871287128712871"
"129","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"121","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8316831683168315"
"130","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"118","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8415841584158414"
"131","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"127","aleatoria","3","0.0045","alaetoria","0.026","5000","2.871287128712871"
"132","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"125","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8613861386138613"
"133","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"126","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8613861386138613"
"134","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"123","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8613861386138613"
"135","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"128","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8514851485148514"
"136","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"130","aleatoria","3","0.0045","alaetoria","0.026","5000","2.871287128712871"
"137","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"131","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8514851485148514"
"138","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"133","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8613861386138613"
"139","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"122","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8217821782178216"
"140","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"129","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8415841584158414"
"141","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"132","aleatoria","3","0.0045","alaetoria","0.026","5000","2.881188118811881"
"142","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"135","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8613861386138613"
"143","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"140","aleatoria","3","0.0045","alaetoria","0.026","5000","2.871287128712871"
"144","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"134","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8613861386138613"
"145","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"141","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8514851485148514"
"146","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"136","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8514851485148514"
"147","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"142","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8514851485148514"
"148","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"137","aleatoria","3","0.0045","alaetoria","0.026","5000","2.871287128712871"
